nro,rnt,nombre_comercial,direccion,telefono,localidad,servicio_a_domicilio,telefono_a_domicilio,pagina_web
123,20391,Brasa Roja Plaza De Las Americas,Centro Comercial Plaza de Las Américas Carrera 71 D No 6 - 94 Sur Local 2905,NR,Kennedy,Sí,600 45 65,labrasaroja.com
216,26357,La Brasa Roja Centro Comercial Santafé,Centro Comercial Santafé Calle 185 No 45 - 03 Local 392,NR,Usaquén,Sí,600 45 65,labrasaroja.com
171,24344,Ristorante Bellini,Carrera 13 No 83 - 52,236 44 01 - 636 90 03,Chapinero,Sí,236 44 01,www.bellinirestaurante.com
32,14481,Archies Chico,Carrera 15 No 96 - 67,610 66 78 -,Chapinero,Sí,605 05 05,www.archies.co
38,14491,Archies Centro Internacional,Carrera 7 No 27 - 80,NR,Santafé,Sí,605 05 05,www.archies.co
235,26524,T-Bone,Carrera 4 No 12 C - 34,283 59 89 -,Candelaria,NR,NA,restaurante-tbone.co
377,34250,Bogota Beer Company SAS,Centro Comercial Centro Mayor Calle 38 A Sur No 34 D - 51 Local 3051 Local 3052,3002729 -,Antonio Nariño,NR,NA,www.bogotabeercompany.com
133,21678,teriyki Sushi Bar,Carrera 13 No 93 - 71,617 02 54 -,Chapinero,Sí,600 09 60,www.teriyaki.com.co
19,14353,Beer Station Zona T,Calle 83 No 12 A - 63,236 93 20 -,Chapinero,NR,NA,www.beerstation.com.co
43,14602,Bogota Beer Company,Carrera 6 No 119 - 24,742 92 92 Extensión 3 Opción 4 -,Usaquén,NR,NA,www.bogotabeercompany.com
279,29796,LA Brasa Roja Hacienda Santa Barbara,Calle 114 No 6 A - 92 Local 108,NR,Usaquén,Sí,600 45 65,labrasaroja.com
75,14812,MC Donalds Atlantis,Centro Comercial Atlantis Calle 81 No 13 - 05 Local 311,531 19 14 - 311 491 31 73,Chapinero,No,NA,www.mcdonalds.com.co
189,25702,Sipote Burrito,Centro Comercial Andino Carrera 11 No 82 - 71 Local 403,644 77 88 -,Chapinero,Sí,644 77 88,www.sipoteburrito.com
110,18694,Crepes & Waffles,Carrera 6 No 119  -  56,676 76 00 Extensión 733 -,Usaquén,No,NA,www.Crepesywaffles.com
111,18832,Hamburguesas el Corral Avenida Chile,Calle 73 No 10 - 83 Local 6 y 7,NR,Chapinero,No,NA,www.elcorral.com
7,14324,Hamburguesas el Corral Hacienda,Centro Comercial Hacienda Santa Bárbara Carrera 7 No 115 - 72 Local E-111,NR,Usaquén,No,NA,www.elcorral.com
